numerator	denominator	odds_ratio	z_score	p_value
miR up; tr down	miR down; tr down	0.8641848523748396	-1.0927480599880925	0.8627477839346084
miR down; tr up	miR up; tr up	1.4584419873145291	2.804905872470096	0.0025165637796854797
miR down tr down	miR up tr up	1.0148067189715966	0.10712401994042854	0.45734529582734745
